Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
onion-sleeveless-kurti-set,Onion Sleeveless Kurti Set,"",Papillon Ethinics,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,Kurta Set,"",true,Size,2-year-3-year,product.metafields.shopify.size,,,,,,,,0.0,shopify,3,deny,manual,650.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2269.png?v=1781339254,1,"",false,,,5622,,,,,,,,,,,,,,'0,,baby-pink,,2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year,,,,,,,kg,,,true,,,active
onion-sleeveless-kurti-set,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,2,deny,manual,650.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
onion-sleeveless-kurti-set,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,3,deny,manual,690.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
onion-sleeveless-kurti-set,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,2,deny,manual,700.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
onion-sleeveless-kurti-set,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,2,deny,manual,700.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-lining-with-shoulder-patti-cotton-frock,Yellow Lining with Shoulder Patti Cotton Frock,"",Papillon Ethinics,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Dresses,Cotton Frock,"",true,Size,6-12-months,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2276.png?v=1781287776,1,"",false,,,5424,,,,,,,,,,,,,,'0,,yellow,cotton,6-12-months; 1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year; 7-8-year,,,,,,,kg,,,true,,,active
yellow-lining-with-shoulder-patti-cotton-frock,,,,,,,,,1-2-year,,,,,,,,,0.0,shopify,0,deny,manual,580.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-lining-with-shoulder-patti-cotton-frock,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,0,deny,manual,580.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-lining-with-shoulder-patti-cotton-frock,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,0,deny,manual,580.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-lining-with-shoulder-patti-cotton-frock,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,2,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-lining-with-shoulder-patti-cotton-frock,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,1,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-lining-with-shoulder-patti-cotton-frock,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,2,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-lining-with-shoulder-patti-cotton-frock,,,,,,,,,7-8-year,,,,,,,,,0.0,shopify,0,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
mango-yellow-floral-cotton-frock-with-collar,Mango Yellow Floral Cotton Frock,"",Papillon Ethinics,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Dresses,Cotton Frock,"",true,Size,6-12-months,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2281.png?v=1781287771,1,"",false,,,5424,,,,,,,,,,,,,,'0,,yellow,cotton,6-12-months; 1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year; 7-8-year,,,,,,,kg,,,true,,,active
mango-yellow-floral-cotton-frock-with-collar,,,,,,,,,1-2-year,,,,,,,,,0.0,shopify,0,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
mango-yellow-floral-cotton-frock-with-collar,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,2,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
mango-yellow-floral-cotton-frock-with-collar,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,2,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
mango-yellow-floral-cotton-frock-with-collar,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,2,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
mango-yellow-floral-cotton-frock-with-collar,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,2,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
mango-yellow-floral-cotton-frock-with-collar,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,2,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
mango-yellow-floral-cotton-frock-with-collar,,,,,,,,,7-8-year,,,,,,,,,0.0,shopify,0,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-frock-with-collar,Peach Cotton Frock with Collar,"",Papillon Ethinics,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Dresses,Cotton Frock,"",true,Size,6-12-months,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,550.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2273.png?v=1781338561,1,"",false,,,5424,,,,,,,,,,,,,,'0,,peach-pink,cotton,6-12-months; 1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year; 7-8-year,,,,,,,kg,,,true,,,active
peach-cotton-frock-with-collar,,,,,,,,,1-2-year,,,,,,,,,0.0,shopify,0,deny,manual,550.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-frock-with-collar,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,1,deny,manual,550.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-frock-with-collar,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,0,deny,manual,560.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-frock-with-collar,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,0,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
